Date_Only,Hour,Day_of_Week,Pickup Location,Demand_Count
2024-01-01,0,0,Area-1,3
2024-01-01,0,0,Area-11,1
2024-01-01,0,0,Area-12,2
2024-01-01,0,0,Area-13,1
2024-01-01,0,0,Area-14,2
2024-01-01,0,0,Area-16,1
2024-01-01,0,0,Area-17,1
2024-01-01,0,0,Area-19,2
2024-01-01,0,0,Area-21,2
2024-01-01,0,0,Area-22,4
2024-01-01,0,0,Area-24,1
2024-01-01,0,0,Area-25,3
2024-01-01,0,0,Area-27,2
2024-01-01,0,0,Area-28,1
2024-01-01,0,0,Area-30,1
2024-01-01,0,0,Area-31,3
2024-01-01,0,0,Area-33,1
2024-01-01,0,0,Area-34,3
2024-01-01,0,0,Area-36,2
2024-01-01,0,0,Area-38,1
2024-01-01,0,0,Area-39,3
2024-01-01,0,0,Area-4,5
2024-01-01,0,0,Area-40,3
2024-01-01,0,0,Area-42,1
2024-01-01,0,0,Area-43,3
2024-01-01,0,0,Area-44,1
2024-01-01,0,0,Area-45,1
2024-01-01,0,0,Area-46,2
2024-01-01,0,0,Area-47,1
2024-01-01,0,0,Area-48,3
2024-01-01,0,0,Area-5,2
2024-01-01,0,0,Area-50,4
2024-01-01,0,0,Area-6,1
2024-01-01,0,0,Area-7,1
2024-01-01,0,0,Area-8,2
2024-01-01,0,0,Area-9,1
2024-01-01,1,0,Area-10,6
2024-01-01,1,0,Area-11,3
2024-01-01,1,0,Area-12,1
2024-01-01,1,0,Area-14,1
2024-01-01,1,0,Area-16,2
2024-01-01,1,0,Area-17,1
2024-01-01,1,0,Area-18,1
2024-01-01,1,0,Area-20,1
2024-01-01,1,0,Area-21,1
2024-01-01,1,0,Area-22,2
2024-01-01,1,0,Area-25,3
2024-01-01,1,0,Area-26,2
2024-01-01,1,0,Area-27,2
2024-01-01,1,0,Area-29,2
2024-01-01,1,0,Area-3,1
2024-01-01,1,0,Area-30,2
2024-01-01,1,0,Area-31,2
2024-01-01,1,0,Area-32,3
2024-01-01,1,0,Area-33,2
2024-01-01,1,0,Area-34,1
2024-01-01,1,0,Area-35,1
2024-01-01,1,0,Area-36,1
2024-01-01,1,0,Area-37,1
2024-01-01,1,0,Area-39,3
2024-01-01,1,0,Area-40,1
2024-01-01,1,0,Area-41,3
2024-01-01,1,0,Area-43,2
2024-01-01,1,0,Area-44,3
2024-01-01,1,0,Area-45,1
2024-01-01,1,0,Area-46,2
2024-01-01,1,0,Area-47,2
2024-01-01,1,0,Area-48,2
2024-01-01,1,0,Area-49,2
2024-01-01,1,0,Area-5,1
2024-01-01,1,0,Area-50,2
2024-01-01,1,0,Area-6,1
2024-01-01,1,0,Area-7,3
2024-01-01,1,0,Area-8,2
2024-01-01,1,0,Area-9,2
2024-01-01,2,0,Area-1,3
2024-01-01,2,0,Area-10,2
2024-01-01,2,0,Area-11,3
2024-01-01,2,0,Area-12,3
2024-01-01,2,0,Area-13,1
2024-01-01,2,0,Area-15,1
2024-01-01,2,0,Area-16,3
2024-01-01,2,0,Area-17,2
2024-01-01,2,0,Area-20,2
2024-01-01,2,0,Area-21,3
2024-01-01,2,0,Area-22,1
2024-01-01,2,0,Area-25,2
2024-01-01,2,0,Area-26,4
2024-01-01,2,0,Area-28,2
2024-01-01,2,0,Area-29,4
2024-01-01,2,0,Area-30,2
2024-01-01,2,0,Area-31,3
2024-01-01,2,0,Area-32,2
2024-01-01,2,0,Area-34,2
2024-01-01,2,0,Area-35,1
2024-01-01,2,0,Area-36,1
2024-01-01,2,0,Area-37,1
2024-01-01,2,0,Area-39,2
2024-01-01,2,0,Area-40,1
2024-01-01,2,0,Area-41,3
2024-01-01,2,0,Area-42,4
2024-01-01,2,0,Area-44,2
2024-01-01,2,0,Area-45,3
2024-01-01,2,0,Area-46,1
2024-01-01,2,0,Area-47,1
2024-01-01,2,0,Area-48,1
2024-01-01,2,0,Area-49,2
2024-01-01,2,0,Area-5,1
2024-01-01,2,0,Area-50,2
2024-01-01,2,0,Area-6,3
2024-01-01,2,0,Area-7,2
2024-01-01,2,0,Area-8,1
2024-01-01,2,0,Area-9,3
2024-01-01,3,0,Area-1,3
2024-01-01,3,0,Area-10,1
2024-01-01,3,0,Area-11,1
2024-01-01,3,0,Area-12,1
2024-01-01,3,0,Area-14,1
2024-01-01,3,0,Area-15,1
2024-01-01,3,0,Area-16,2
2024-01-01,3,0,Area-18,1
2024-01-01,3,0,Area-19,2
2024-01-01,3,0,Area-2,4
2024-01-01,3,0,Area-21,2
2024-01-01,3,0,Area-22,3
2024-01-01,3,0,Area-23,2
2024-01-01,3,0,Area-24,1
2024-01-01,3,0,Area-25,4
2024-01-01,3,0,Area-26,2
2024-01-01,3,0,Area-27,2
2024-01-01,3,0,Area-29,2
2024-01-01,3,0,Area-31,3
2024-01-01,3,0,Area-32,1
2024-01-01,3,0,Area-33,3
2024-01-01,3,0,Area-35,1
2024-01-01,3,0,Area-38,3
2024-01-01,3,0,Area-39,2
2024-01-01,3,0,Area-4,1
2024-01-01,3,0,Area-40,2
2024-01-01,3,0,Area-41,2
2024-01-01,3,0,Area-42,2
2024-01-01,3,0,Area-43,2
2024-01-01,3,0,Area-44,1
2024-01-01,3,0,Area-46,1
2024-01-01,3,0,Area-47,2
2024-01-01,3,0,Area-48,1
2024-01-01,3,0,Area-49,1
2024-01-01,3,0,Area-50,2
2024-01-01,3,0,Area-6,1
2024-01-01,3,0,Area-7,1
2024-01-01,3,0,Area-8,2
2024-01-01,4,0,Area-10,1
2024-01-01,4,0,Area-11,1
2024-01-01,4,0,Area-12,2
2024-01-01,4,0,Area-13,3
2024-01-01,4,0,Area-14,1
2024-01-01,4,0,Area-15,2
2024-01-01,4,0,Area-16,1
2024-01-01,4,0,Area-19,2
2024-01-01,4,0,Area-2,1
2024-01-01,4,0,Area-20,2
2024-01-01,4,0,Area-21,1
2024-01-01,4,0,Area-23,1
2024-01-01,4,0,Area-27,2
2024-01-01,4,0,Area-29,4
2024-01-01,4,0,Area-3,2
2024-01-01,4,0,Area-30,1
2024-01-01,4,0,Area-32,2
2024-01-01,4,0,Area-33,1
2024-01-01,4,0,Area-35,1
2024-01-01,4,0,Area-36,2
2024-01-01,4,0,Area-37,4
2024-01-01,4,0,Area-38,1
2024-01-01,4,0,Area-39,1
2024-01-01,4,0,Area-4,1
2024-01-01,4,0,Area-40,2
2024-01-01,4,0,Area-41,4
2024-01-01,4,0,Area-42,1
2024-01-01,4,0,Area-43,2
2024-01-01,4,0,Area-45,2
2024-01-01,4,0,Area-46,2
2024-01-01,4,0,Area-47,3
2024-01-01,4,0,Area-48,1
2024-01-01,4,0,Area-49,3
2024-01-01,4,0,Area-50,1
2024-01-01,4,0,Area-7,1
2024-01-01,4,0,Area-8,3
2024-01-01,4,0,Area-9,1
2024-01-01,5,0,Area-1,1
2024-01-01,5,0,Area-10,1
2024-01-01,5,0,Area-11,2
2024-01-01,5,0,Area-14,1
2024-01-01,5,0,Area-16,1
2024-01-01,5,0,Area-17,2
2024-01-01,5,0,Area-18,2
2024-01-01,5,0,Area-20,1
2024-01-01,5,0,Area-21,2
2024-01-01,5,0,Area-22,2
2024-01-01,5,0,Area-25,1
2024-01-01,5,0,Area-26,4
2024-01-01,5,0,Area-27,1
2024-01-01,5,0,Area-29,1
2024-01-01,5,0,Area-3,1
2024-01-01,5,0,Area-30,3
2024-01-01,5,0,Area-31,1
2024-01-01,5,0,Area-34,4
2024-01-01,5,0,Area-35,1
2024-01-01,5,0,Area-37,1
2024-01-01,5,0,Area-39,2
2024-01-01,5,0,Area-4,3
2024-01-01,5,0,Area-40,3
2024-01-01,5,0,Area-41,2
2024-01-01,5,0,Area-42,2
2024-01-01,5,0,Area-44,3
2024-01-01,5,0,Area-46,1
2024-01-01,5,0,Area-47,3
2024-01-01,5,0,Area-48,1
2024-01-01,5,0,Area-5,2
2024-01-01,5,0,Area-50,2
2024-01-01,5,0,Area-6,1
2024-01-01,5,0,Area-7,1
2024-01-01,5,0,Area-8,1
2024-01-01,5,0,Area-9,2
2024-01-01,6,0,Area-1,5
2024-01-01,6,0,Area-11,1
2024-01-01,6,0,Area-12,2
2024-01-01,6,0,Area-13,2
2024-01-01,6,0,Area-14,2
2024-01-01,6,0,Area-15,3
2024-01-01,6,0,Area-16,1
2024-01-01,6,0,Area-17,2
2024-01-01,6,0,Area-18,1
2024-01-01,6,0,Area-19,3
2024-01-01,6,0,Area-2,2
2024-01-01,6,0,Area-20,2
2024-01-01,6,0,Area-22,1
2024-01-01,6,0,Area-23,3
2024-01-01,6,0,Area-24,5
2024-01-01,6,0,Area-25,2
2024-01-01,6,0,Area-26,1
2024-01-01,6,0,Area-27,1
2024-01-01,6,0,Area-28,2
2024-01-01,6,0,Area-29,3
2024-01-01,6,0,Area-3,1
2024-01-01,6,0,Area-30,4
2024-01-01,6,0,Area-31,1
2024-01-01,6,0,Area-39,2
2024-01-01,6,0,Area-4,1
2024-01-01,6,0,Area-40,1
